,X,Director,Category,Cast1,Cast2,Cast3,Duration,Rating
5095,24,Gaspar Noé,Drama | Fantasy,Nathaniel Brown,Paz de la Huerta,Cyril Roy,161 mins.,7.3
5096,26,Lone Scherfig,Drama,Carey Mulligan,Peter Sarsgaard,Alfred Molina,100 mins.,7.3
5097,27,Jean-Marc Vallée,Biography | Drama | History | Romance,Emily Blunt,Rupert Friend,Paul Bettany,105 mins.,7.3
5098,30,Lee Daniels,Drama,Gabourey Sidibe,Mo'Nique,Paula Patton,110 mins.,7.4
5099,32,Shane Acker,Animation | Action | Adventure | Drama | Fantasy | Mystery | Sci-Fi | Thriller,Elijah Wood,Jennifer Connelly,Crispin Glover,79 mins.,7.1
5100,35,Tom Ford,Drama,Colin Firth,Julianne Moore,Matthew Goode,99 mins.,7.6
5101,43,Carlos Saldanha,Animation | Action | Adventure | Comedy | Family,Mike Thurmeier,Ray Romano,John Leguizamo,94 mins.,7
5102,45,Alejandro Amenábar,Adventure | Drama | History | Romance,Rachel Weisz,Max Minghella,Oscar Isaac,127 mins.,7.2
5103,1,Ron Clements,Animation | Family | Fantasy | Musical | Romance,John Musker,Anika Noni Rose,Keith David,97 mins.,7.2
5104,8,Yorgos Lanthimos,Drama,Christos Stergioglou,Michele Valley,Angeliki Papoulia,94 mins.,7.2
5105,10,John Hamburg,Comedy | Romance,Paul Rudd,Jason Segel,Rashida Jones,105 mins.,7.1
5106,12,F. Gary Gray,Crime | Drama | Thriller,Gerard Butler,Jamie Foxx,Leslie Bibb,109 mins.,7.4
5107,14,John Hillcoat,Adventure | Drama,Viggo Mortensen,Charlize Theron,Kodi Smit-McPhee,111 mins.,7.3
5108,15,Jason Reitman,Drama | Romance,George Clooney,Vera Farmiga,Anna Kendrick,109 mins.,7.5
5109,19,Richard Curtis,Comedy | Drama | Music,Philip Seymour Hoffman,Bill Nighy,Nick Frost,135 mins.,7.4
5110,20,Jim Sheridan,Drama | Thriller,Jake Gyllenhaal,Natalie Portman,Tobey Maguire,105 mins.,7.1
5111,23,Gaspar Noé,Drama | Fantasy,Nathaniel Brown,Paz de la Huerta,Cyril Roy,161 mins.,7.3
5112,25,Lone Scherfig,Drama,Carey Mulligan,Peter Sarsgaard,Alfred Molina,100 mins.,7.3
5113,26,Jean-Marc Vallée,Biography | Drama | History | Romance,Emily Blunt,Rupert Friend,Paul Bettany,105 mins.,7.3
5114,29,Lee Daniels,Drama,Gabourey Sidibe,Mo'Nique,Paula Patton,110 mins.,7.4
5115,31,Shane Acker,Animation | Action | Adventure | Drama | Fantasy | Mystery | Sci-Fi | Thriller,Elijah Wood,Jennifer Connelly,Crispin Glover,79 mins.,7.1
5116,34,Tom Ford,Drama,Colin Firth,Julianne Moore,Matthew Goode,99 mins.,7.6
5117,42,Carlos Saldanha,Animation | Action | Adventure | Comedy | Family,Mike Thurmeier,Ray Romano,John Leguizamo,94 mins.,7
5118,44,Alejandro Amenábar,Adventure | Drama | History | Romance,Rachel Weisz,Max Minghella,Oscar Isaac,127 mins.,7.2
5119,50,Robert Schwentke,Drama | Fantasy | Romance | Sci-Fi,Eric Bana,Rachel McAdams,Ron Livingston,107 mins.,7.1
5120,7,Yorgos Lanthimos,Drama,Christos Stergioglou,Michele Valley,Angeliki Papoulia,94 mins.,7.2
5121,9,John Hamburg,Comedy | Romance,Paul Rudd,Jason Segel,Rashida Jones,105 mins.,7.1
5122,11,F. Gary Gray,Crime | Drama | Thriller,Gerard Butler,Jamie Foxx,Leslie Bibb,109 mins.,7.4
5123,13,John Hillcoat,Adventure | Drama,Viggo Mortensen,Charlize Theron,Kodi Smit-McPhee,111 mins.,7.3
5124,14,Jason Reitman,Drama | Romance,George Clooney,Vera Farmiga,Anna Kendrick,109 mins.,7.5
5125,18,Richard Curtis,Comedy | Drama | Music,Philip Seymour Hoffman,Bill Nighy,Nick Frost,135 mins.,7.4
5126,19,Jim Sheridan,Drama | Thriller,Jake Gyllenhaal,Natalie Portman,Tobey Maguire,105 mins.,7.1
5127,22,Gaspar Noé,Drama | Fantasy,Nathaniel Brown,Paz de la Huerta,Cyril Roy,161 mins.,7.3
5128,24,Lone Scherfig,Drama,Carey Mulligan,Peter Sarsgaard,Alfred Molina,100 mins.,7.3
5129,25,Jean-Marc Vallée,Biography | Drama | History | Romance,Emily Blunt,Rupert Friend,Paul Bettany,105 mins.,7.3
5130,28,Lee Daniels,Drama,Gabourey Sidibe,Mo'Nique,Paula Patton,110 mins.,7.4
5131,30,Shane Acker,Animation | Action | Adventure | Drama | Fantasy | Mystery | Sci-Fi | Thriller,Elijah Wood,Jennifer Connelly,Crispin Glover,79 mins.,7.1
5132,33,Tom Ford,Drama,Colin Firth,Julianne Moore,Matthew Goode,99 mins.,7.6
5133,41,Carlos Saldanha,Animation | Action | Adventure | Comedy | Family,Mike Thurmeier,Ray Romano,John Leguizamo,94 mins.,7
5134,43,Alejandro Amenábar,Adventure | Drama | History | Romance,Rachel Weisz,Max Minghella,Oscar Isaac,127 mins.,7.2
5135,49,Robert Schwentke,Drama | Fantasy | Romance | Sci-Fi,Eric Bana,Rachel McAdams,Ron Livingston,107 mins.,7.1
5136,6,Yorgos Lanthimos,Drama,Christos Stergioglou,Michele Valley,Angeliki Papoulia,94 mins.,7.2
5137,8,John Hamburg,Comedy | Romance,Paul Rudd,Jason Segel,Rashida Jones,105 mins.,7.1
5138,10,F. Gary Gray,Crime | Drama | Thriller,Gerard Butler,Jamie Foxx,Leslie Bibb,109 mins.,7.4
5139,12,John Hillcoat,Adventure | Drama,Viggo Mortensen,Charlize Theron,Kodi Smit-McPhee,111 mins.,7.3
5140,13,Jason Reitman,Drama | Romance,George Clooney,Vera Farmiga,Anna Kendrick,109 mins.,7.5
5141,17,Richard Curtis,Comedy | Drama | Music,Philip Seymour Hoffman,Bill Nighy,Nick Frost,135 mins.,7.4
5142,18,Jim Sheridan,Drama | Thriller,Jake Gyllenhaal,Natalie Portman,Tobey Maguire,105 mins.,7.1
5143,21,Gaspar Noé,Drama | Fantasy,Nathaniel Brown,Paz de la Huerta,Cyril Roy,161 mins.,7.3
5144,23,Lone Scherfig,Drama,Carey Mulligan,Peter Sarsgaard,Alfred Molina,100 mins.,7.3
5145,24,Jean-Marc Vallée,Biography | Drama | History | Romance,Emily Blunt,Rupert Friend,Paul Bettany,105 mins.,7.3
5146,27,Lee Daniels,Drama,Gabourey Sidibe,Mo'Nique,Paula Patton,110 mins.,7.4
5147,29,Shane Acker,Animation | Action | Adventure | Drama | Fantasy | Mystery | Sci-Fi | Thriller,Elijah Wood,Jennifer Connelly,Crispin Glover,79 mins.,7.1
5148,32,Tom Ford,Drama,Colin Firth,Julianne Moore,Matthew Goode,99 mins.,7.6
5149,40,Carlos Saldanha,Animation | Action | Adventure | Comedy | Family,Mike Thurmeier,Ray Romano,John Leguizamo,94 mins.,7
5150,42,Alejandro Amenábar,Adventure | Drama | History | Romance,Rachel Weisz,Max Minghella,Oscar Isaac,127 mins.,7.2
5151,48,Robert Schwentke,Drama | Fantasy | Romance | Sci-Fi,Eric Bana,Rachel McAdams,Ron Livingston,107 mins.,7.1
5152,50,Phil Lord,Animation | Comedy | Family | Romance | Sci-Fi,Christopher Miller,Anna Faris,Bill Hader,90 mins.,7
5153,5,Yorgos Lanthimos,Drama,Christos Stergioglou,Michele Valley,Angeliki Papoulia,94 mins.,7.2
5154,7,John Hamburg,Comedy | Romance,Paul Rudd,Jason Segel,Rashida Jones,105 mins.,7.1
5155,9,F. Gary Gray,Crime | Drama | Thriller,Gerard Butler,Jamie Foxx,Leslie Bibb,109 mins.,7.4
5156,11,John Hillcoat,Adventure | Drama,Viggo Mortensen,Charlize Theron,Kodi Smit-McPhee,111 mins.,7.3
5157,12,Jason Reitman,Drama | Romance,George Clooney,Vera Farmiga,Anna Kendrick,109 mins.,7.5
5158,16,Richard Curtis,Comedy | Drama | Music,Philip Seymour Hoffman,Bill Nighy,Nick Frost,135 mins.,7.4
5159,17,Jim Sheridan,Drama | Thriller,Jake Gyllenhaal,Natalie Portman,Tobey Maguire,105 mins.,7.1
5160,20,Gaspar Noé,Drama | Fantasy,Nathaniel Brown,Paz de la Huerta,Cyril Roy,161 mins.,7.3
5161,22,Lone Scherfig,Drama,Carey Mulligan,Peter Sarsgaard,Alfred Molina,100 mins.,7.3
5162,23,Jean-Marc Vallée,Biography | Drama | History | Romance,Emily Blunt,Rupert Friend,Paul Bettany,105 mins.,7.3
5163,26,Lee Daniels,Drama,Gabourey Sidibe,Mo'Nique,Paula Patton,110 mins.,7.4
5164,28,Shane Acker,Animation | Action | Adventure | Drama | Fantasy | Mystery | Sci-Fi | Thriller,Elijah Wood,Jennifer Connelly,Crispin Glover,79 mins.,7.1
5165,31,Tom Ford,Drama,Colin Firth,Julianne Moore,Matthew Goode,99 mins.,7.6
5166,39,Carlos Saldanha,Animation | Action | Adventure | Comedy | Family,Mike Thurmeier,Ray Romano,John Leguizamo,94 mins.,7
5167,41,Alejandro Amenábar,Adventure | Drama | History | Romance,Rachel Weisz,Max Minghella,Oscar Isaac,127 mins.,7.2
5168,47,Robert Schwentke,Drama | Fantasy | Romance | Sci-Fi,Eric Bana,Rachel McAdams,Ron Livingston,107 mins.,7.1
5169,49,Phil Lord,Animation | Comedy | Family | Romance | Sci-Fi,Christopher Miller,Anna Faris,Bill Hader,90 mins.,7
5170,50,Ethan Coen,Comedy | Drama,Joel Coen,Michael Stuhlbarg,Richard Kind,106 mins.,7
5171,4,Yorgos Lanthimos,Drama,Christos Stergioglou,Michele Valley,Angeliki Papoulia,94 mins.,7.2
5172,6,John Hamburg,Comedy | Romance,Paul Rudd,Jason Segel,Rashida Jones,105 mins.,7.1
5173,8,F. Gary Gray,Crime | Drama | Thriller,Gerard Butler,Jamie Foxx,Leslie Bibb,109 mins.,7.4
5174,10,John Hillcoat,Adventure | Drama,Viggo Mortensen,Charlize Theron,Kodi Smit-McPhee,111 mins.,7.3
5175,11,Jason Reitman,Drama | Romance,George Clooney,Vera Farmiga,Anna Kendrick,109 mins.,7.5
5176,15,Richard Curtis,Comedy | Drama | Music,Philip Seymour Hoffman,Bill Nighy,Nick Frost,135 mins.,7.4
5177,16,Jim Sheridan,Drama | Thriller,Jake Gyllenhaal,Natalie Portman,Tobey Maguire,105 mins.,7.1
5178,19,Gaspar Noé,Drama | Fantasy,Nathaniel Brown,Paz de la Huerta,Cyril Roy,161 mins.,7.3
5179,21,Lone Scherfig,Drama,Carey Mulligan,Peter Sarsgaard,Alfred Molina,100 mins.,7.3
5180,22,Jean-Marc Vallée,Biography | Drama | History | Romance,Emily Blunt,Rupert Friend,Paul Bettany,105 mins.,7.3
5181,25,Lee Daniels,Drama,Gabourey Sidibe,Mo'Nique,Paula Patton,110 mins.,7.4
5182,27,Shane Acker,Animation | Action | Adventure | Drama | Fantasy | Mystery | Sci-Fi | Thriller,Elijah Wood,Jennifer Connelly,Crispin Glover,79 mins.,7.1
5183,30,Tom Ford,Drama,Colin Firth,Julianne Moore,Matthew Goode,99 mins.,7.6
5184,38,Carlos Saldanha,Animation | Action | Adventure | Comedy | Family,Mike Thurmeier,Ray Romano,John Leguizamo,94 mins.,7
5185,40,Alejandro Amenábar,Adventure | Drama | History | Romance,Rachel Weisz,Max Minghella,Oscar Isaac,127 mins.,7.2
5186,46,Robert Schwentke,Drama | Fantasy | Romance | Sci-Fi,Eric Bana,Rachel McAdams,Ron Livingston,107 mins.,7.1
5187,48,Phil Lord,Animation | Comedy | Family | Romance | Sci-Fi,Christopher Miller,Anna Faris,Bill Hader,90 mins.,7
5188,49,Ethan Coen,Comedy | Drama,Joel Coen,Michael Stuhlbarg,Richard Kind,106 mins.,7
5189,3,Yorgos Lanthimos,Drama,Christos Stergioglou,Michele Valley,Angeliki Papoulia,94 mins.,7.2
5190,5,John Hamburg,Comedy | Romance,Paul Rudd,Jason Segel,Rashida Jones,105 mins.,7.1
5191,7,F. Gary Gray,Crime | Drama | Thriller,Gerard Butler,Jamie Foxx,Leslie Bibb,109 mins.,7.4
5192,9,John Hillcoat,Adventure | Drama,Viggo Mortensen,Charlize Theron,Kodi Smit-McPhee,111 mins.,7.3
5193,10,Jason Reitman,Drama | Romance,George Clooney,Vera Farmiga,Anna Kendrick,109 mins.,7.5
5194,14,Richard Curtis,Comedy | Drama | Music,Philip Seymour Hoffman,Bill Nighy,Nick Frost,135 mins.,7.4
5195,15,Jim Sheridan,Drama | Thriller,Jake Gyllenhaal,Natalie Portman,Tobey Maguire,105 mins.,7.1
5196,18,Gaspar Noé,Drama | Fantasy,Nathaniel Brown,Paz de la Huerta,Cyril Roy,161 mins.,7.3
5197,20,Lone Scherfig,Drama,Carey Mulligan,Peter Sarsgaard,Alfred Molina,100 mins.,7.3
5198,21,Jean-Marc Vallée,Biography | Drama | History | Romance,Emily Blunt,Rupert Friend,Paul Bettany,105 mins.,7.3
5199,24,Lee Daniels,Drama,Gabourey Sidibe,Mo'Nique,Paula Patton,110 mins.,7.4
5200,26,Shane Acker,Animation | Action | Adventure | Drama | Fantasy | Mystery | Sci-Fi | Thriller,Elijah Wood,Jennifer Connelly,Crispin Glover,79 mins.,7.1
5201,29,Tom Ford,Drama,Colin Firth,Julianne Moore,Matthew Goode,99 mins.,7.6
5202,37,Carlos Saldanha,Animation | Action | Adventure | Comedy | Family,Mike Thurmeier,Ray Romano,John Leguizamo,94 mins.,7
5203,39,Alejandro Amenábar,Adventure | Drama | History | Romance,Rachel Weisz,Max Minghella,Oscar Isaac,127 mins.,7.2
5204,45,Robert Schwentke,Drama | Fantasy | Romance | Sci-Fi,Eric Bana,Rachel McAdams,Ron Livingston,107 mins.,7.1
5205,47,Phil Lord,Animation | Comedy | Family | Romance | Sci-Fi,Christopher Miller,Anna Faris,Bill Hader,90 mins.,7
5206,48,Ethan Coen,Comedy | Drama,Joel Coen,Michael Stuhlbarg,Richard Kind,106 mins.,7
5207,2,Yorgos Lanthimos,Drama,Christos Stergioglou,Michele Valley,Angeliki Papoulia,94 mins.,7.2
5208,4,John Hamburg,Comedy | Romance,Paul Rudd,Jason Segel,Rashida Jones,105 mins.,7.1
5209,6,F. Gary Gray,Crime | Drama | Thriller,Gerard Butler,Jamie Foxx,Leslie Bibb,109 mins.,7.4
5210,8,John Hillcoat,Adventure | Drama,Viggo Mortensen,Charlize Theron,Kodi Smit-McPhee,111 mins.,7.3
5211,9,Jason Reitman,Drama | Romance,George Clooney,Vera Farmiga,Anna Kendrick,109 mins.,7.5
5212,13,Richard Curtis,Comedy | Drama | Music,Philip Seymour Hoffman,Bill Nighy,Nick Frost,135 mins.,7.4
5213,14,Jim Sheridan,Drama | Thriller,Jake Gyllenhaal,Natalie Portman,Tobey Maguire,105 mins.,7.1
5214,17,Gaspar Noé,Drama | Fantasy,Nathaniel Brown,Paz de la Huerta,Cyril Roy,161 mins.,7.3
5215,19,Lone Scherfig,Drama,Carey Mulligan,Peter Sarsgaard,Alfred Molina,100 mins.,7.3
5216,20,Jean-Marc Vallée,Biography | Drama | History | Romance,Emily Blunt,Rupert Friend,Paul Bettany,105 mins.,7.3
5217,23,Lee Daniels,Drama,Gabourey Sidibe,Mo'Nique,Paula Patton,110 mins.,7.4
5218,25,Shane Acker,Animation | Action | Adventure | Drama | Fantasy | Mystery | Sci-Fi | Thriller,Elijah Wood,Jennifer Connelly,Crispin Glover,79 mins.,7.1
5219,28,Tom Ford,Drama,Colin Firth,Julianne Moore,Matthew Goode,99 mins.,7.6
5220,36,Carlos Saldanha,Animation | Action | Adventure | Comedy | Family,Mike Thurmeier,Ray Romano,John Leguizamo,94 mins.,7
5221,38,Alejandro Amenábar,Adventure | Drama | History | Romance,Rachel Weisz,Max Minghella,Oscar Isaac,127 mins.,7.2
5222,44,Robert Schwentke,Drama | Fantasy | Romance | Sci-Fi,Eric Bana,Rachel McAdams,Ron Livingston,107 mins.,7.1
5223,46,Phil Lord,Animation | Comedy | Family | Romance | Sci-Fi,Christopher Miller,Anna Faris,Bill Hader,90 mins.,7
5224,47,Ethan Coen,Comedy | Drama,Joel Coen,Michael Stuhlbarg,Richard Kind,106 mins.,7
5225,50,Adam Elliot,Animation | Comedy | Drama,Toni Collette,Philip Seymour Hoffman,Eric Bana,92 mins.,8.2
5226,1,Yorgos Lanthimos,Drama,Christos Stergioglou,Michele Valley,Angeliki Papoulia,94 mins.,7.2
5227,3,John Hamburg,Comedy | Romance,Paul Rudd,Jason Segel,Rashida Jones,105 mins.,7.1
5228,5,F. Gary Gray,Crime | Drama | Thriller,Gerard Butler,Jamie Foxx,Leslie Bibb,109 mins.,7.4
5229,7,John Hillcoat,Adventure | Drama,Viggo Mortensen,Charlize Theron,Kodi Smit-McPhee,111 mins.,7.3
5230,8,Jason Reitman,Drama | Romance,George Clooney,Vera Farmiga,Anna Kendrick,109 mins.,7.5
5231,12,Richard Curtis,Comedy | Drama | Music,Philip Seymour Hoffman,Bill Nighy,Nick Frost,135 mins.,7.4
5232,13,Jim Sheridan,Drama | Thriller,Jake Gyllenhaal,Natalie Portman,Tobey Maguire,105 mins.,7.1
5233,16,Gaspar Noé,Drama | Fantasy,Nathaniel Brown,Paz de la Huerta,Cyril Roy,161 mins.,7.3
5234,18,Lone Scherfig,Drama,Carey Mulligan,Peter Sarsgaard,Alfred Molina,100 mins.,7.3
5235,19,Jean-Marc Vallée,Biography | Drama | History | Romance,Emily Blunt,Rupert Friend,Paul Bettany,105 mins.,7.3
5236,22,Lee Daniels,Drama,Gabourey Sidibe,Mo'Nique,Paula Patton,110 mins.,7.4
5237,24,Shane Acker,Animation | Action | Adventure | Drama | Fantasy | Mystery | Sci-Fi | Thriller,Elijah Wood,Jennifer Connelly,Crispin Glover,79 mins.,7.1
5238,27,Tom Ford,Drama,Colin Firth,Julianne Moore,Matthew Goode,99 mins.,7.6
5239,35,Carlos Saldanha,Animation | Action | Adventure | Comedy | Family,Mike Thurmeier,Ray Romano,John Leguizamo,94 mins.,7
5240,37,Alejandro Amenábar,Adventure | Drama | History | Romance,Rachel Weisz,Max Minghella,Oscar Isaac,127 mins.,7.2
5241,43,Robert Schwentke,Drama | Fantasy | Romance | Sci-Fi,Eric Bana,Rachel McAdams,Ron Livingston,107 mins.,7.1
5242,45,Phil Lord,Animation | Comedy | Family | Romance | Sci-Fi,Christopher Miller,Anna Faris,Bill Hader,90 mins.,7
5243,46,Ethan Coen,Comedy | Drama,Joel Coen,Michael Stuhlbarg,Richard Kind,106 mins.,7
5244,49,Adam Elliot,Animation | Comedy | Drama,Toni Collette,Philip Seymour Hoffman,Eric Bana,92 mins.,8.2
5245,50,Kevin Macdonald,Crime | Drama | Mystery | Thriller,Russell Crowe,Rachel McAdams,Ben Affleck,127 mins.,7.1
5246,1,David Yates,Adventure | Drama | Fantasy | Mystery,Daniel Radcliffe,Emma Watson,Rupert Grint,130 mins.,8.1
5247,3,David Fincher,Crime | Drama | Mystery | Thriller,Daniel Craig,Rooney Mara,Christopher Plummer,158 mins.,7.8
5248,7,Gavin O'Connor,Drama | Sport,Tom Hardy,Nick Nolte,Joel Edgerton,140 mins.,8.2
5249,8,Olivier Nakache,Biography | Comedy | Drama,Eric Toledano,François Cluzet,Omar Sy,112 mins.,8.6
5250,10,Kenneth Branagh,Action | Adventure | Fantasy,Chris Hemsworth,Anthony Hopkins,Natalie Portman,115 mins.,7
5251,11,Tate Taylor,Drama,Emma Stone,Viola Davis,Octavia Spencer,146 mins.,8.1
5252,13,Glenn Ficarra,Comedy | Drama | Romance,John Requa,Steve Carell,Ryan Gosling,118 mins.,7.4
5253,15,Martin Scorsese,Adventure | Drama | Family | Mystery,Asa Butterfield,Chloë Grace Moretz,Christopher Lee,126 mins.,7.6
5254,16,Brad Bird,Action | Adventure | Thriller,Tom Cruise,Jeremy Renner,Simon Pegg,133 mins.,7.4
5255,18,Matthew Vaughn,Action | Adventure | Sci-Fi,James McAvoy,Michael Fassbender,Jennifer Lawrence,132 mins.,7.8
5256,19,Nicolas Winding Refn,Crime | Drama,Ryan Gosling,Carey Mulligan,Bryan Cranston,100 mins.,7.8
5257,20,J.J. Abrams,Action | Mystery | Sci-Fi | Thriller,Elle Fanning,AJ Michalka,Kyle Chandler,112 mins.,7.1
5258,21,Steven Spielberg,Animation | Action | Adventure | Family | Mystery,Jamie Bell,Andy Serkis,Daniel Craig,107 mins.,7.4
5259,22,Neil Burger,Mystery | Sci-Fi | Thriller,Bradley Cooper,Anna Friel,Abbie Cornish,105 mins.,7.4
5260,26,Woody Allen,Comedy | Fantasy | Romance,Owen Wilson,Rachel McAdams,Kathy Bates,94 mins.,7.7
5261,27,Tomas Alfredson,Drama | Mystery | Thriller,Gary Oldman,Colin Firth,Tom Hardy,127 mins.,7.1
5262,28,Lynne Ramsay,Drama,Tilda Swinton,John C. Reilly,Ezra Miller,112 mins.,7.5
5263,32,Guy Ritchie,Action | Adventure | Crime | Mystery | Thriller,Robert Downey Jr.,Jude Law,Jared Harris,129 mins.,7.5
5264,35,Justin Lin,Action | Crime | Thriller,Vin Diesel,Paul Walker,Dwayne Johnson,131 mins.,7.3
5265,38,Cameron Crowe,Comedy | Drama | Family,Matt Damon,Scarlett Johansson,Thomas Haden Church,124 mins.,7.1
5266,41,Shawn Levy,Action | Drama | Sci-Fi | Sport,Hugh Jackman,Evangeline Lilly,Dakota Goyo,127 mins.,7.1
5267,43,Steve McQueen,Drama,Michael Fassbender,Carey Mulligan,James Badge Dale,101 mins.,7.3
5268,44,Duncan Jones,Mystery | Sci-Fi | Thriller,Jake Gyllenhaal,Michelle Monaghan,Vera Farmiga,93 mins.,7.5
5269,45,Jennifer Yuh,Animation | Action | Adventure | Comedy | Drama | Family,Jack Black,Angelina Jolie,Jackie Chan,91 mins.,7.3
5270,48,Sarah Smith,Animation | Adventure | Comedy | Drama | Family | Fantasy,Barry Cook,James McAvoy,Jim Broadbent,97 mins.,7.1
5271,49,Lone Scherfig,Drama | Romance,Anne Hathaway,Jim Sturgess,Patricia Clarkson,107 mins.,7
5272,50,Lars von Trier,Drama | Sci-Fi,Kirsten Dunst,Charlotte Gainsbourg,Kiefer Sutherland,130 mins.,7.1
5273,2,David Fincher,Crime | Drama | Mystery | Thriller,Daniel Craig,Rooney Mara,Christopher Plummer,158 mins.,7.8
5274,6,Gavin O'Connor,Drama | Sport,Tom Hardy,Nick Nolte,Joel Edgerton,140 mins.,8.2
5275,7,Olivier Nakache,Biography | Comedy | Drama,Eric Toledano,François Cluzet,Omar Sy,112 mins.,8.6
5276,9,Kenneth Branagh,Action | Adventure | Fantasy,Chris Hemsworth,Anthony Hopkins,Natalie Portman,115 mins.,7
5277,10,Tate Taylor,Drama,Emma Stone,Viola Davis,Octavia Spencer,146 mins.,8.1
5278,12,Glenn Ficarra,Comedy | Drama | Romance,John Requa,Steve Carell,Ryan Gosling,118 mins.,7.4
5279,14,Martin Scorsese,Adventure | Drama | Family | Mystery,Asa Butterfield,Chloë Grace Moretz,Christopher Lee,126 mins.,7.6
5280,15,Brad Bird,Action | Adventure | Thriller,Tom Cruise,Jeremy Renner,Simon Pegg,133 mins.,7.4
5281,17,Matthew Vaughn,Action | Adventure | Sci-Fi,James McAvoy,Michael Fassbender,Jennifer Lawrence,132 mins.,7.8
5282,18,Nicolas Winding Refn,Crime | Drama,Ryan Gosling,Carey Mulligan,Bryan Cranston,100 mins.,7.8
5283,19,J.J. Abrams,Action | Mystery | Sci-Fi | Thriller,Elle Fanning,AJ Michalka,Kyle Chandler,112 mins.,7.1
5284,20,Steven Spielberg,Animation | Action | Adventure | Family | Mystery,Jamie Bell,Andy Serkis,Daniel Craig,107 mins.,7.4
5285,21,Neil Burger,Mystery | Sci-Fi | Thriller,Bradley Cooper,Anna Friel,Abbie Cornish,105 mins.,7.4
5286,25,Woody Allen,Comedy | Fantasy | Romance,Owen Wilson,Rachel McAdams,Kathy Bates,94 mins.,7.7
5287,26,Tomas Alfredson,Drama | Mystery | Thriller,Gary Oldman,Colin Firth,Tom Hardy,127 mins.,7.1
5288,27,Lynne Ramsay,Drama,Tilda Swinton,John C. Reilly,Ezra Miller,112 mins.,7.5
5289,31,Guy Ritchie,Action | Adventure | Crime | Mystery | Thriller,Robert Downey Jr.,Jude Law,Jared Harris,129 mins.,7.5
5290,34,Justin Lin,Action | Crime | Thriller,Vin Diesel,Paul Walker,Dwayne Johnson,131 mins.,7.3
5291,37,Cameron Crowe,Comedy | Drama | Family,Matt Damon,Scarlett Johansson,Thomas Haden Church,124 mins.,7.1
5292,40,Shawn Levy,Action | Drama | Sci-Fi | Sport,Hugh Jackman,Evangeline Lilly,Dakota Goyo,127 mins.,7.1
5293,42,Steve McQueen,Drama,Michael Fassbender,Carey Mulligan,James Badge Dale,101 mins.,7.3
5294,43,Duncan Jones,Mystery | Sci-Fi | Thriller,Jake Gyllenhaal,Michelle Monaghan,Vera Farmiga,93 mins.,7.5
5295,44,Jennifer Yuh,Animation | Action | Adventure | Comedy | Drama | Family,Jack Black,Angelina Jolie,Jackie Chan,91 mins.,7.3
5296,47,Sarah Smith,Animation | Adventure | Comedy | Drama | Family | Fantasy,Barry Cook,James McAvoy,Jim Broadbent,97 mins.,7.1
5297,48,Lone Scherfig,Drama | Romance,Anne Hathaway,Jim Sturgess,Patricia Clarkson,107 mins.,7
5298,49,Lars von Trier,Drama | Sci-Fi,Kirsten Dunst,Charlotte Gainsbourg,Kiefer Sutherland,130 mins.,7.1
5299,50,Cary Joji Fukunaga,Drama | Romance,Mia Wasikowska,Michael Fassbender,Jamie Bell,120 mins.,7.4
5300,1,David Fincher,Crime | Drama | Mystery | Thriller,Daniel Craig,Rooney Mara,Christopher Plummer,158 mins.,7.8
5301,5,Gavin O'Connor,Drama | Sport,Tom Hardy,Nick Nolte,Joel Edgerton,140 mins.,8.2
5302,6,Olivier Nakache,Biography | Comedy | Drama,Eric Toledano,François Cluzet,Omar Sy,112 mins.,8.6
5303,8,Kenneth Branagh,Action | Adventure | Fantasy,Chris Hemsworth,Anthony Hopkins,Natalie Portman,115 mins.,7
5304,9,Tate Taylor,Drama,Emma Stone,Viola Davis,Octavia Spencer,146 mins.,8.1
5305,11,Glenn Ficarra,Comedy | Drama | Romance,John Requa,Steve Carell,Ryan Gosling,118 mins.,7.4
5306,13,Martin Scorsese,Adventure | Drama | Family | Mystery,Asa Butterfield,Chloë Grace Moretz,Christopher Lee,126 mins.,7.6
5307,14,Brad Bird,Action | Adventure | Thriller,Tom Cruise,Jeremy Renner,Simon Pegg,133 mins.,7.4
5308,16,Matthew Vaughn,Action | Adventure | Sci-Fi,James McAvoy,Michael Fassbender,Jennifer Lawrence,132 mins.,7.8
5309,17,Nicolas Winding Refn,Crime | Drama,Ryan Gosling,Carey Mulligan,Bryan Cranston,100 mins.,7.8
5310,18,J.J. Abrams,Action | Mystery | Sci-Fi | Thriller,Elle Fanning,AJ Michalka,Kyle Chandler,112 mins.,7.1
5311,19,Steven Spielberg,Animation | Action | Adventure | Family | Mystery,Jamie Bell,Andy Serkis,Daniel Craig,107 mins.,7.4
5312,20,Neil Burger,Mystery | Sci-Fi | Thriller,Bradley Cooper,Anna Friel,Abbie Cornish,105 mins.,7.4
5313,24,Woody Allen,Comedy | Fantasy | Romance,Owen Wilson,Rachel McAdams,Kathy Bates,94 mins.,7.7
5314,25,Tomas Alfredson,Drama | Mystery | Thriller,Gary Oldman,Colin Firth,Tom Hardy,127 mins.,7.1
5315,26,Lynne Ramsay,Drama,Tilda Swinton,John C. Reilly,Ezra Miller,112 mins.,7.5
5316,30,Guy Ritchie,Action | Adventure | Crime | Mystery | Thriller,Robert Downey Jr.,Jude Law,Jared Harris,129 mins.,7.5
